(Übergeordnete) ASIN,(Untergeordnete) ASIN,Titel,SKU,Sitzungen – Summe,Sitzungen – Summe – B2B,Prozentwert an Sitzungen – Summe,Prozentsatz Sitzung – Summe – B2B,Seitenaufrufe – Summe,Seitenaufrufe – Summe – B2B,Prozentsatz Seitenaufrufe – Summe,Prozentsatz Seitenaufrufe – Summe – B2B,Hervorgehobenes Angebot ("In-den-Einkaufswagen") – Prozentsatz,Hervorgehobenes Angebot (Einkaufswagen-Feld) Prozentwert – B2B,Bestellte Einheiten,Bestellte Einheiten – B2B,Prozentsatz an Einheiten pro Sitzung,Prozentsatz an Einheiten pro Sitzung – B2B,Durch bestellte Produkte erzielter Umsatz,Bestellsumme – B2B,Zahl der Bestellposten,Zahl der Bestellposten – B2B
B08M68ZQSN,B08KY9613X,Druckluft Kupplungsstecker Tülle Schlauchanschluss 4 mm,KSS 4 MS (PRIME),543,41,0.81%,0.82%,740,47,0.80%,0.67%,100.00%,100.00%,64,7,11.79%,17.07%,"315,77 €","32,53 €",52,4
B08KJG3ZVP,B0108HHGSI,"5 Stück Steckverschraubung Pneumatik Steckverbinder Schnellsteckverbinder Push In (G 1/4"" x 10mm) zylindrisch",IQSG 1410 G-5 (PRIME),464,58,0.69%,1.17%,650,79,0.70%,1.13%,100.00%,100.00%,58,17,12.50%,29.31%,"508,95 €","148,26 €",50,14
B08N16ZTBV,B06VVGCY3J,3 Stück gerade Pneumatik Steckverbinder - Steckanschluss für Luft & Wasser - Schnellsteckverbinder - Push In Fitting (8mm),IQSG 80-3 (PRIME),252,22,0.38%,0.44%,359,36,0.39%,0.52%,99.68%,100.00%,62,6,24.60%,27.27%,"356,69 €","32,92 €",50,6
B08N16ZTBV,B06WLKQ3NT,3 Stück gerade Pneumatik Steckverbinder - Steckanschluss für Luft & Wasser - Schnellsteckverbinder - Push In Fitting (6mm),IQSG 60 (PRIME),278,13,0.42%,0.26%,368,14,0.40%,0.20%,100.00%,100.00%,67,13,24.10%,100.00%,"360,47 €","69,21 €",49,5
B08FB8BB9T,B07XZBL4BT,"Pneumatik Polyurethan PUN Schlauch | 5 meter | Außen 4mm x Innen 2,5mm | Schwarz | Flexibel Druckluftschlauch Luft Treibstoff Öl","PUN 4x2,5 SCHWARZ-5-PRIME",448,27,0.67%,0.54%,573,38,0.62%,0.54%,100.00%,100.00%,53,6,11.83%,22.22%,"261,95 €","26,80 €",47,5
B08M68ZQSN,B003ID3OX6,"Druckluft Kupplungsstecker Tülle Schlauchanschluss 9 (3/8"") mm",KSS 9 NW7-PRIME,551,44,0.82%,0.88%,674,50,0.73%,0.72%,100.00%,100.00%,57,14,10.34%,31.82%,"225,32 €","53,30 €",44,11
B08NK44WPG,B012XG9N1U,Pneumatik Verteiler 3-Fach - Push In Steckverbinder - (6mm Schlauchanschluss),162.006-2,453,26,0.68%,0.52%,607,39,0.66%,0.56%,86.45%,90.32%,67,21,14.79%,80.77%,"183,41 €","56,91 €",43,7
B08KT4SNN7,B0D96CQXZ3,"Blubberschlauch Silikonschlauch für Stimmtherapie und Stimmtraining - Logopädie Blubber Schlauch aus aus platinvernetztem Silikon (transparent (milchig), 1 Color Set Grün)",SET GRUEN PRIME,255,2,0.38%,0.04%,323,2,0.35%,0.03%,100.00%,100.00%,44,0,17.25%,0.00%,"879,09 €","0,00 €",43,0
B06Y18NDLF,B06Y18NDLF,"REHAU RAUCLAIR-E lebensmittelechter PVC-Schlauch, Wasserschlauch, Luftschlauch| METERWARE (17. Innen-Außen: 10mm - 14mm)",PVC 1014-1,522,27,0.78%,0.54%,753,40,0.81%,0.57%,89.60%,68.57%,68,10,13.03%,37.04%,"336,60 €","49,50 €",42,3
B08FB8BB9T,B07124424X,Pneumatik Polyurethan PUN Schlauch 5 meter Außen 8mm x Innen 5mm Klar Transparent Flexibel Druckluftschlauch Luft Treibstoff Öl,PUN 8x5 KLAR-5-PRIME,364,22,0.54%,0.44%,478,29,0.52%,0.41%,100.00%,100.00%,44,6,12.09%,27.27%,"428,19 €","55,62 €",42,6
B08LZMYBJJ,B08LZHBJY7,25m Polyethylenschlauch - 8/6mm (Außen-Ø/Innen-Ø) - Druckluft Pneumatikschlauch Wasserschlauch - Farbe: blau,PL 8X6 BLAU-25 PRIME,286,48,0.43%,0.96%,409,75,0.44%,1.07%,100.00%,100.00%,46,15,16.08%,31.25%,"955,67 €","304,80 €",42,14
B08WWMFBRM,B08WWMFBRM,"90° - Einschraubwinkel G 3/8"" Innengewinde - R 3/8"" Außengewinde 16 bar Gewindefitting Messing vernickelt Verbindungsstück Fitting",WE 38 MSV  PRIME,179,12,0.27%,0.24%,259,15,0.28%,0.21%,100.00%,100.00%,51,4,28.49%,33.33%,"371,54 €","28,00 €",39,4
B08KQ9K3GS,B00K7FZ7ZG,"Schlauchtülle Druckluftkupplung Stecknippel - Kupplungsstecker Außengewinde - G 1/2"" x13mm - 1 Stück",GT 1213 MS (Prime),226,25,0.34%,0.50%,339,36,0.37%,0.52%,100.00%,100.00%,53,16,23.45%,64.00%,"280,25 €","82,44 €",38,8
B08FCF8P6M,B00KWD9ZK6,Spiral-Ersatzschlauch für Braun Munddusche (blau-transparent),BES-blau (transluzent),194,7,0.29%,0.14%,264,7,0.29%,0.10%,79.33%,50.00%,38,1,19.59%,14.29%,"246,62 €","6,49 €",38,1
B08KJG3ZVP,B0108HHGLK,"5 Stück Steckverschraubung Pneumatik Steckverbinder Schnellsteckverbinder Push In (G 1/8"" x 8mm) zylindrisch",IQSG 188 G-5 (PRIME),460,56,0.69%,1.13%,652,81,0.70%,1.16%,100.00%,100.00%,41,13,8.91%,23.21%,"321,25 €","97,48 €",35,10
B08M68ZQSN,B08KY8SZHS,Druckluft Kupplungsstecker Tülle Schlauchanschluss 10mm,KSS 10 NW7  PRIME,122,15,0.18%,0.30%,156,22,0.17%,0.31%,100.00%,100.00%,49,17,40.16%,113.33%,"194,41 €","66,55 €",33,7
