Startdatum,Enddatum,Portfolioname,Kampagnentyp,Kampagnen-Name,Land,Status,Währung,Budget,Targeting-Typ,Gebotsstrategien,Impressionen,Impressionen im vergangenen Jahr,Klicks,Klicks im letzten Jahr,Klickrate (CTR),Ausgaben,Ausgaben im letzten Jahr,Kosten pro Klick (CPC),Kosten pro Klick im letzten Jahr (CPC),"7 Tage, Aufträge gesamt (#)","Zugeschriebene Umsatzkosten (ACOS) gesamt ",Gesamte Rentabilität der Anzeigenkosten (ROAS),"7 Tage, Umsatz gesamt (€)"
"Mar 10, 2025","Apr 01, 2025",No Portfolio,Sponsored Products,Kampagne mit Voreinstellungen - B002UNCP3K - 19.6.2024 09:04:55,Deutschland,ENABLED,EUR,€10.0,Manuelles Targeting,Dynamische Gebote – erhöhen und senken,14138,,83,,0.587%,€44.89,,€0.5408434,€0.0,14,17.027%,5.87,€263.64
"Mar 03, 2025","Apr 01, 2025",No Portfolio,Sponsored Products,Kampagne mit Voreinstellungen - B08PVRDW2L - 19.6.2024 09:04:55,Deutschland,ENABLED,EUR,€15.0,Manuelles Targeting,Dynamische Gebote – erhöhen und senken,8322,,24,,0.28800000000000003%,€10.99,,€0.4579167,€0.0,2,19.24%,5.2,€57.12
"Apr 01, 2025","Apr 01, 2025",No Portfolio,Sponsored Products,Kampagne mit Voreinstellungen - B00W54NPXS - 19.6.2024 09:04:55,Deutschland,ENABLED,EUR,€10.0,Manuelles Targeting,Dynamische Gebote – erhöhen und senken,1460,,10,,0.685%,€10.65,,€1.065,€0.0,0,0.0%,0.0,€0.0
"Mar 10, 2025","Apr 01, 2025",No Portfolio,Sponsored Products,Kampagne mit Voreinstellungen - B00K807Z2S - 19.6.2024 09:04:55,Deutschland,ENABLED,EUR,€10.0,Manuelles Targeting,Dynamische Gebote – erhöhen und senken,646,,1,,0.155%,€0.33,,€0.33,€0.0,0,0.0%,0.0,€0.0
"Mar 10, 2025","Apr 01, 2025",No Portfolio,Sponsored Products,Sicherheitsventile SP KP,Deutschland,ENABLED,EUR,€10.0,Automatisches Targeting,Dynamische Gebote – nur senken,11144,,33,,0.296%,€11.18,,€0.33878790000000003,€0.0,6,4.393%,22.77,€254.52
"Mar 03, 2025","Apr 01, 2025",AA_Blubberschlauch,Sponsored Products,SP_BLUBER_SETS Auto,Deutschland,ENABLED,EUR,€40.0,Automatisches Targeting,Dynamische Gebote – nur senken,65659,,1631,,2.484%,€636.79,,€0.39042920000000003,€0.0,449,7.42%,13.48,€8582.03
"Mar 22, 2025","Apr 01, 2025",No Portfolio,Sponsored Products,SP PA Schlauch BLK,Deutschland,ENABLED,EUR,€10.0,Automatisches Targeting,Dynamische Gebote – nur senken,25770,,71,,0.27599999999999997%,€54.36,,€0.7656337999999999,€0.0,1,308.163%,0.32,€17.64
"Mar 10, 2025","Apr 01, 2025",No Portfolio,Sponsored Products,SP SCHLAUCH PE AUTO,Deutschland,ENABLED,EUR,€20.0,Automatisches Targeting,Dynamische Gebote – nur senken,33206,,156,,0.47000000000000003%,€110.67,,€0.7094231000000001,€0.0,13,38.757999999999996%,2.58,€285.54
"Mar 10, 2025","Apr 01, 2025",No Portfolio,Sponsored Products,TestKampan,Deutschland,ENABLED,EUR,€10.0,Automatisches Targeting,Dynamische Gebote – nur senken,1719,,33,,1.92%,€0.66,,€0.02,€0.0,6,0.619%,161.62,€106.67
"Mar 10, 2025","Apr 01, 2025",No Portfolio,Sponsored Products,Kampagne mit Voreinstellungen - B0DFY8P84D - 17.12.2024 08:31:27,Deutschland,ENABLED,EUR,€10.0,Manuelles Targeting,Dynamische Gebote – erhöhen und senken,12051,,57,,0.473%,€20.61,,€0.36157890000000004,€0.0,27,9.838%,10.16,€209.5
